confidence,radius,position,id,gt,reasons
,120,"(120, 120)",041007_017,1,[]
,120,"(195, 120)",041007_017,1,[]
,120,"(270, 120)",041007_017,1,[]
,120,"(345, 120)",041007_017,0,['obstacle']
,120,"(420, 120)",041007_017,0,['obstacle']
,120,"(495, 120)",041007_017,1,[]
,120,"(570, 120)",041007_017,1,[]
,120,"(645, 120)",041007_017,1,[]
,120,"(720, 120)",041007_017,1,[]
,120,"(795, 120)",041007_017,1,[]
,120,"(870, 120)",041007_017,0,['obstacle']
,120,"(945, 120)",041007_017,0,['obstacle']
,120,"(1020, 120)",041007_017,0,['obstacle']
,120,"(1095, 120)",041007_017,1,[]
,120,"(120, 195)",041007_017,1,[]
,120,"(195, 195)",041007_017,1,[]
,120,"(270, 195)",041007_017,0,['obstacle']
,120,"(345, 195)",041007_017,0,['obstacle']
,120,"(420, 195)",041007_017,0,['obstacle']
,120,"(495, 195)",041007_017,0,['obstacle']
,120,"(570, 195)",041007_017,1,[]
,120,"(645, 195)",041007_017,0,['bike']
,120,"(720, 195)",041007_017,1,[]
,120,"(795, 195)",041007_017,0,['obstacle']
,120,"(870, 195)",041007_017,0,['obstacle']
,120,"(945, 195)",041007_017,0,['obstacle']
,120,"(1020, 195)",041007_017,0,['obstacle']
,120,"(1095, 195)",041007_017,1,[]
,120,"(120, 270)",041007_017,1,[]
,120,"(195, 270)",041007_017,1,[]
,120,"(270, 270)",041007_017,0,['obstacle']
,120,"(345, 270)",041007_017,0,['obstacle']
,120,"(420, 270)",041007_017,0,['obstacle']
,120,"(495, 270)",041007_017,0,['obstacle']
,120,"(570, 270)",041007_017,0,"['person', 'bike']"
,120,"(645, 270)",041007_017,0,"['person', 'bike']"
,120,"(720, 270)",041007_017,0,"['person', 'bike']"
,120,"(795, 270)",041007_017,0,['obstacle']
,120,"(870, 270)",041007_017,0,['obstacle']
,120,"(945, 270)",041007_017,0,['obstacle']
,120,"(1020, 270)",041007_017,0,['obstacle']
,120,"(1095, 270)",041007_017,1,[]
,120,"(120, 345)",041007_017,1,[]
,120,"(195, 345)",041007_017,1,[]
,120,"(270, 345)",041007_017,1,[]
,120,"(345, 345)",041007_017,1,[]
,120,"(420, 345)",041007_017,0,['obstacle']
,120,"(495, 345)",041007_017,0,['obstacle']
,120,"(570, 345)",041007_017,0,"['person', 'bike']"
,120,"(645, 345)",041007_017,0,"['person', 'bike']"
,120,"(720, 345)",041007_017,0,"['person', 'bike']"
,120,"(795, 345)",041007_017,1,[]
,120,"(870, 345)",041007_017,0,['obstacle']
,120,"(945, 345)",041007_017,0,['obstacle']
,120,"(1020, 345)",041007_017,0,['person']
,120,"(1095, 345)",041007_017,0,['person']
,120,"(120, 420)",041007_017,1,[]
,120,"(195, 420)",041007_017,1,[]
,120,"(270, 420)",041007_017,1,[]
,120,"(345, 420)",041007_017,1,[]
,120,"(420, 420)",041007_017,1,[]
,120,"(495, 420)",041007_017,1,[]
,120,"(570, 420)",041007_017,0,"['person', 'bike']"
,120,"(645, 420)",041007_017,0,"['person', 'bike']"
,120,"(720, 420)",041007_017,0,"['person', 'bike']"
,120,"(795, 420)",041007_017,1,[]
,120,"(870, 420)",041007_017,1,[]
,120,"(945, 420)",041007_017,1,[]
,120,"(1020, 420)",041007_017,0,['person']
,120,"(1095, 420)",041007_017,0,['person']
,120,"(120, 495)",041007_017,1,[]
,120,"(195, 495)",041007_017,1,[]
,120,"(270, 495)",041007_017,1,[]
,120,"(345, 495)",041007_017,1,[]
,120,"(420, 495)",041007_017,1,[]
,120,"(495, 495)",041007_017,1,[]
,120,"(570, 495)",041007_017,1,[]
,120,"(645, 495)",041007_017,1,[]
,120,"(720, 495)",041007_017,1,[]
,120,"(795, 495)",041007_017,1,[]
,120,"(870, 495)",041007_017,1,[]
,120,"(945, 495)",041007_017,1,[]
,120,"(1020, 495)",041007_017,1,[]
,120,"(1095, 495)",041007_017,0,['person']
,120,"(120, 570)",041007_017,1,[]
,120,"(195, 570)",041007_017,1,[]
,120,"(270, 570)",041007_017,1,[]
,120,"(345, 570)",041007_017,1,[]
,120,"(420, 570)",041007_017,1,[]
,120,"(495, 570)",041007_017,1,[]
,120,"(570, 570)",041007_017,1,[]
,120,"(645, 570)",041007_017,1,[]
,120,"(720, 570)",041007_017,1,[]
,120,"(795, 570)",041007_017,1,[]
,120,"(870, 570)",041007_017,1,[]
,120,"(945, 570)",041007_017,1,[]
,120,"(1020, 570)",041007_017,1,[]
,120,"(1095, 570)",041007_017,1,[]
,120,"(120, 120)",041007_018,1,[]
,120,"(195, 120)",041007_018,1,[]
,120,"(270, 120)",041007_018,0,['obstacle']
,120,"(345, 120)",041007_018,0,['obstacle']
,120,"(420, 120)",041007_018,0,['obstacle']
,120,"(495, 120)",041007_018,0,['obstacle']
,120,"(570, 120)",041007_018,1,[]
,120,"(645, 120)",041007_018,1,[]
,120,"(720, 120)",041007_018,1,[]
,120,"(795, 120)",041007_018,0,['obstacle']
,120,"(870, 120)",041007_018,0,['obstacle']
,120,"(945, 120)",041007_018,0,['obstacle']
,120,"(1020, 120)",041007_018,0,['obstacle']
,120,"(1095, 120)",041007_018,1,[]
,120,"(120, 195)",041007_018,1,[]
,120,"(195, 195)",041007_018,1,[]
,120,"(270, 195)",041007_018,0,['obstacle']
,120,"(345, 195)",041007_018,0,['obstacle']
,120,"(420, 195)",041007_018,0,['obstacle']
,120,"(495, 195)",041007_018,0,['obstacle']
,120,"(570, 195)",041007_018,1,[]
,120,"(645, 195)",041007_018,1,[]
,120,"(720, 195)",041007_018,1,[]
,120,"(795, 195)",041007_018,0,['obstacle']
,120,"(870, 195)",041007_018,0,['obstacle']
,120,"(945, 195)",041007_018,0,['obstacle']
,120,"(1020, 195)",041007_018,0,['obstacle']
,120,"(1095, 195)",041007_018,1,[]
,120,"(120, 270)",041007_018,1,[]
,120,"(195, 270)",041007_018,1,[]
,120,"(270, 270)",041007_018,1,[]
,120,"(345, 270)",041007_018,0,['obstacle']
,120,"(420, 270)",041007_018,0,['obstacle']
,120,"(495, 270)",041007_018,0,['obstacle']
,120,"(570, 270)",041007_018,0,"['person', 'bike']"
,120,"(645, 270)",041007_018,0,"['person', 'bike']"
,120,"(720, 270)",041007_018,0,"['person', 'bike']"
,120,"(795, 270)",041007_018,0,['obstacle']
,120,"(870, 270)",041007_018,0,['obstacle']
,120,"(945, 270)",041007_018,0,['obstacle']
,120,"(1020, 270)",041007_018,1,[]
,120,"(1095, 270)",041007_018,0,['person']
,120,"(120, 345)",041007_018,1,[]
,120,"(195, 345)",041007_018,1,[]
,120,"(270, 345)",041007_018,1,[]
,120,"(345, 345)",041007_018,1,[]
,120,"(420, 345)",041007_018,1,[]
,120,"(495, 345)",041007_018,1,[]
,120,"(570, 345)",041007_018,0,"['person', 'bike']"
,120,"(645, 345)",041007_018,0,"['person', 'bike']"
,120,"(720, 345)",041007_018,0,"['person', 'bike']"
,120,"(795, 345)",041007_018,1,[]
,120,"(870, 345)",041007_018,1,[]
,120,"(945, 345)",041007_018,1,[]
,120,"(1020, 345)",041007_018,0,['person']
,120,"(1095, 345)",041007_018,0,['person']
,120,"(120, 420)",041007_018,1,[]
,120,"(195, 420)",041007_018,1,[]
,120,"(270, 420)",041007_018,1,[]
,120,"(345, 420)",041007_018,1,[]
,120,"(420, 420)",041007_018,1,[]
,120,"(495, 420)",041007_018,1,[]
,120,"(570, 420)",041007_018,0,"['person', 'bike']"
,120,"(645, 420)",041007_018,0,"['person', 'bike']"
,120,"(720, 420)",041007_018,0,"['person', 'bike']"
,120,"(795, 420)",041007_018,1,[]
,120,"(870, 420)",041007_018,1,[]
,120,"(945, 420)",041007_018,1,[]
,120,"(1020, 420)",041007_018,0,['person']
,120,"(1095, 420)",041007_018,0,['person']
,120,"(120, 495)",041007_018,1,[]
,120,"(195, 495)",041007_018,1,[]
,120,"(270, 495)",041007_018,1,[]
,120,"(345, 495)",041007_018,1,[]
,120,"(420, 495)",041007_018,1,[]
,120,"(495, 495)",041007_018,1,[]
,120,"(570, 495)",041007_018,1,[]
,120,"(645, 495)",041007_018,1,[]
,120,"(720, 495)",041007_018,1,[]
,120,"(795, 495)",041007_018,1,[]
,120,"(870, 495)",041007_018,1,[]
,120,"(945, 495)",041007_018,1,[]
,120,"(1020, 495)",041007_018,1,[]
,120,"(1095, 495)",041007_018,0,['person']
,120,"(120, 570)",041007_018,1,[]
,120,"(195, 570)",041007_018,1,[]
,120,"(270, 570)",041007_018,1,[]
,120,"(345, 570)",041007_018,1,[]
,120,"(420, 570)",041007_018,1,[]
,120,"(495, 570)",041007_018,1,[]
,120,"(570, 570)",041007_018,1,[]
,120,"(645, 570)",041007_018,1,[]
,120,"(720, 570)",041007_018,1,[]
,120,"(795, 570)",041007_018,1,[]
,120,"(870, 570)",041007_018,1,[]
,120,"(945, 570)",041007_018,1,[]
,120,"(1020, 570)",041007_018,1,[]
,120,"(1095, 570)",041007_018,1,[]
,120,"(120, 120)",041007_019,1,[]
,120,"(195, 120)",041007_019,1,[]
,120,"(270, 120)",041007_019,0,['obstacle']
,120,"(345, 120)",041007_019,0,['obstacle']
,120,"(420, 120)",041007_019,0,['obstacle']
,120,"(495, 120)",041007_019,0,['obstacle']
,120,"(570, 120)",041007_019,1,[]
,120,"(645, 120)",041007_019,1,[]
,120,"(720, 120)",041007_019,1,[]
,120,"(795, 120)",041007_019,0,['obstacle']
,120,"(870, 120)",041007_019,0,['obstacle']
,120,"(945, 120)",041007_019,0,['obstacle']
,120,"(1020, 120)",041007_019,0,['obstacle']
,120,"(1095, 120)",041007_019,1,[]
,120,"(120, 195)",041007_019,1,[]
,120,"(195, 195)",041007_019,1,[]
,120,"(270, 195)",041007_019,0,['obstacle']
,120,"(345, 195)",041007_019,0,['obstacle']
,120,"(420, 195)",041007_019,0,['obstacle']
,120,"(495, 195)",041007_019,0,['obstacle']
,120,"(570, 195)",041007_019,1,[]
,120,"(645, 195)",041007_019,1,[]
,120,"(720, 195)",041007_019,1,[]
,120,"(795, 195)",041007_019,0,['obstacle']
,120,"(870, 195)",041007_019,0,['obstacle']
,120,"(945, 195)",041007_019,0,['obstacle']
,120,"(1020, 195)",041007_019,0,['obstacle']
,120,"(1095, 195)",041007_019,1,[]
,120,"(120, 270)",041007_019,1,[]
,120,"(195, 270)",041007_019,1,[]
