confidence,radius,position,id
0.0,120,"(645, 120)",041007_017
0.0,120,"(495, 195)",041007_017
0.0,120,"(570, 195)",041007_017
0.0,120,"(645, 195)",041007_017
0.0,120,"(720, 195)",041007_017
0.0,120,"(795, 195)",041007_017
0.0,120,"(495, 270)",041007_017
0.0,120,"(570, 270)",041007_017
0.0,120,"(645, 270)",041007_017
0.0,120,"(720, 270)",041007_017
0.0,120,"(795, 270)",041007_017
0.0,120,"(495, 345)",041007_017
0.0,120,"(570, 345)",041007_017
0.0,120,"(645, 345)",041007_017
0.0,120,"(720, 345)",041007_017
0.0,120,"(795, 345)",041007_017
0.0,120,"(495, 420)",041007_017
0.0,120,"(570, 420)",041007_017
0.0,120,"(645, 420)",041007_017
0.0,120,"(720, 420)",041007_017
0.0,120,"(795, 420)",041007_017
0.0,120,"(495, 495)",041007_017
0.0,120,"(570, 495)",041007_017
0.0,120,"(645, 495)",041007_017
0.0,120,"(720, 495)",041007_017
0.43300492832189286,120,"(345, 120)",041007_017
0.43830854028469357,120,"(270, 120)",041007_017
0.4714773170150734,120,"(195, 120)",041007_017
0.4959995121042473,120,"(120, 195)",041007_017
0.4977006278547078,120,"(120, 120)",041007_017
0.5007718985336019,120,"(870, 420)",041007_017
0.5013010367298396,120,"(945, 420)",041007_017
0.5036097426348874,120,"(1020, 420)",041007_017
0.5105779489478035,120,"(1020, 495)",041007_017
0.5184087238891064,120,"(420, 120)",041007_017
0.5193071541064563,120,"(945, 495)",041007_017
0.5203018228821917,120,"(1020, 345)",041007_017
0.5211945348459205,120,"(195, 195)",041007_017
0.5271417936778162,120,"(1020, 570)",041007_017
0.533715920530029,120,"(945, 345)",041007_017
0.5359071218737969,120,"(870, 495)",041007_017
0.5438800103078099,120,"(870, 345)",041007_017
0.5459978271474228,120,"(120, 270)",041007_017
0.5513986916009495,120,"(270, 195)",041007_017
0.559861323270061,120,"(1095, 420)",041007_017
0.5637011530889594,120,"(1095, 495)",041007_017
0.5642632631279165,120,"(1095, 570)",041007_017
0.56440338674591,120,"(1095, 345)",041007_017
0.5727394770979298,120,"(345, 195)",041007_017
0.5744222533224622,120,"(795, 495)",041007_017
0.5797946590886723,120,"(945, 570)",041007_017
0.5870346601109077,120,"(1020, 270)",041007_017
0.6099512787666144,120,"(1095, 270)",041007_017
0.6100463550541663,120,"(195, 270)",041007_017
0.6105437132321119,120,"(795, 120)",041007_017
0.6157234556944458,120,"(945, 270)",041007_017
0.6165494138430987,120,"(870, 270)",041007_017
0.6188052982523025,120,"(870, 570)",041007_017
0.637515680201267,120,"(420, 195)",041007_017
0.6468047559693725,120,"(120, 345)",041007_017
0.6477397775220781,120,"(720, 120)",041007_017
0.6521227068650847,120,"(1020, 195)",041007_017
0.6569733508839298,120,"(795, 570)",041007_017
0.664971339095291,120,"(1095, 195)",041007_017
0.6654469111455845,120,"(870, 120)",041007_017
0.6678508872547833,120,"(270, 270)",041007_017
0.68446036595348,120,"(1020, 120)",041007_017
