label,confidence,box,id
person,0.4235019385814667,"[374, 249, 49, 38]",043
person,0.2380925565958023,"[464, 242, 41, 48]",043
person,0.2561535835266113,"[778, 80, 24, 36]",228
person,0.2442120760679245,"[829, 86, 23, 38]",228
car,0.9883639216423036,"[601, 405, 185, 216]",236
car,0.9868900179862976,"[1075, 30, 206, 195]",236
person,0.8764216899871826,"[726, 53, 26, 33]",409
person,0.760642409324646,"[728, 247, 38, 44]",409
person,0.3657609820365906,"[824, 313, 54, 31]",409
person,0.2837651968002319,"[933, 230, 36, 47]",409
person,0.2075241059064865,"[773, 4, 36, 26]",409
car,0.4027791619300842,"[1152, 507, 126, 125]",410
car,0.2370344251394271,"[815, 799, 163, 54]",410
person,0.4375673830509186,"[1043, 241, 32, 32]",412
person,0.7238162159919739,"[847, 38, 29, 34]",413
person,0.6170171499252319,"[839, 193, 40, 33]",413
person,0.2814814150333404,"[1024, 216, 28, 40]",413
person,0.2123946398496627,"[813, 436, 40, 53]",500
