confidence,radius,position,id
0.0,120,"(420, 120)",001101_001
0.0,120,"(495, 120)",001101_001
0.0,120,"(570, 120)",001101_001
0.0,120,"(645, 120)",001101_001
0.0,120,"(720, 120)",001101_001
0.0,120,"(795, 120)",001101_001
0.0,120,"(420, 195)",001101_001
0.0,120,"(495, 195)",001101_001
0.0,120,"(570, 195)",001101_001
0.0,120,"(645, 195)",001101_001
0.0,120,"(720, 195)",001101_001
0.0,120,"(795, 195)",001101_001
0.0,120,"(420, 270)",001101_001
0.0,120,"(495, 270)",001101_001
0.0,120,"(570, 270)",001101_001
0.0,120,"(645, 270)",001101_001
0.0,120,"(720, 270)",001101_001
0.0,120,"(570, 345)",001101_001
0.0,120,"(645, 345)",001101_001
0.3463135311161999,120,"(1095, 420)",001101_001
0.35339770518927155,120,"(1020, 420)",001101_001
0.3827062535417211,120,"(1095, 345)",001101_001
0.3830683258013669,120,"(1020, 345)",001101_001
0.393082849148568,120,"(1095, 495)",001101_001
0.40972183795093137,120,"(870, 120)",001101_001
0.41509988576702084,120,"(945, 345)",001101_001
0.4186238422390609,120,"(945, 120)",001101_001
0.4206600662630474,120,"(1020, 495)",001101_001
0.4211560327645066,120,"(945, 420)",001101_001
0.4268929675416536,120,"(1095, 570)",001101_001
0.4308424644725068,120,"(870, 195)",001101_001
0.438195641651196,120,"(870, 270)",001101_001
0.44015984236958244,120,"(1020, 570)",001101_001
0.44199131813148695,120,"(945, 270)",001101_001
0.44447044232292954,120,"(870, 345)",001101_001
0.4498923936845264,120,"(945, 495)",001101_001
0.4514923837661689,120,"(1020, 270)",001101_001
0.45589733377999686,120,"(945, 570)",001101_001
0.4576668742822485,120,"(870, 420)",001101_001
0.4581674177472299,120,"(945, 195)",001101_001
0.4632857406787153,120,"(795, 270)",001101_001
0.46526698511994996,120,"(795, 345)",001101_001
0.469651459067305,120,"(870, 495)",001101_001
0.4721347441377415,120,"(1095, 270)",001101_001
0.4744901745638724,120,"(795, 420)",001101_001
0.47530886491774255,120,"(870, 570)",001101_001
0.48170612036887656,120,"(1020, 120)",001101_001
0.4834540046589623,120,"(795, 495)",001101_001
0.49001951098432983,120,"(795, 570)",001101_001
0.4982212296666304,120,"(120, 120)",001101_001
0.5111883724826045,120,"(1020, 195)",001101_001
0.5159039315625735,120,"(720, 570)",001101_001
0.5198732793936571,120,"(720, 495)",001101_001
0.5290584687748386,120,"(720, 420)",001101_001
0.5317377284356273,120,"(720, 345)",001101_001
0.5408343778893447,120,"(120, 195)",001101_001
0.5435869215081892,120,"(1095, 120)",001101_001
0.5581256346056683,120,"(195, 120)",001101_001
0.5621950186937643,120,"(1095, 195)",001101_001
0.5824908234992269,120,"(120, 270)",001101_001
0.5962553655296684,120,"(645, 570)",001101_001
0.6064033657124973,120,"(645, 495)",001101_001
0.6127860953106087,120,"(195, 195)",001101_001
0.6175996714952696,120,"(645, 420)",001101_001
0.626665864131309,120,"(120, 345)",001101_001
0.6288475034859243,120,"(270, 120)",001101_001
0.6596229487135302,120,"(345, 120)",001101_001
0.662620484836772,120,"(195, 270)",001101_001
0.6698572493983816,120,"(120, 420)",001101_001
0.6749808446873746,120,"(270, 195)",001101_001
0.6830593488804031,120,"(345, 195)",001101_001
0.6972725841542239,120,"(570, 570)",001101_001
0.7002338064811902,120,"(570, 420)",001101_001
0.7026489771156558,120,"(570, 495)",001101_001
0.7054598490536905,120,"(195, 345)",001101_001
0.7071755405157235,120,"(345, 270)",001101_001
0.7097560043694559,120,"(270, 270)",001101_001
0.7103933968521103,120,"(120, 495)",001101_001
0.7114187611342122,120,"(495, 345)",001101_001
