label,confidence,box,id
person,0.5773393511772156,"[568, 87, 60, 111]",001101_001
motorbike,0.537635326385498,"[567, 86, 62, 113]",001101_002
motorbike,0.7208941578865051,"[569, 138, 61, 104]",001101_003
motorbike,0.4103915095329284,"[572, 166, 53, 109]",001101_004
motorbike,0.2700125575065613,"[569, 189, 55, 116]",001101_005
person,0.5944677591323853,"[541, 216, 55, 111]",001101_006
motorbike,0.3556942045688629,"[535, 238, 57, 112]",001101_007
person,0.4473915100097656,"[530, 237, 55, 116]",001101_008
person,0.2275220900774002,"[516, 245, 56, 104]",001101_009
motorbike,0.4822229146957397,"[527, 234, 71, 161]",001101_010
person,0.5442912578582764,"[554, 222, 54, 101]",001101_011
motorbike,0.3788388669490814,"[1129, 8, 139, 41]",001101_011
person,0.5707158446311951,"[554, 192, 57, 106]",001101_012
person,0.5964251160621643,"[559, 146, 57, 100]",001101_013
person,0.5031562447547913,"[571, 136, 59, 113]",001101_014
motorbike,0.4853845536708832,"[579, 112, 73, 157]",001101_015
person,0.7825967669487,"[620, 114, 55, 107]",001101_016
person,0.5660154223442078,"[638, 136, 52, 112]",001101_017
person,0.4441811442375183,"[643, 148, 54, 97]",001101_018
motorbike,0.470381498336792,"[637, 166, 54, 108]",001101_019
person,0.5912254452705383,"[635, 197, 43, 44]",001101_020
person,0.4540963470935821,"[638, 213, 39, 56]",001101_021
motorbike,0.3439778685569763,"[630, 250, 49, 88]",001101_021
motorbike,0.6488813161849976,"[629, 241, 53, 104]",001101_022
person,0.5126575231552124,"[633, 253, 49, 83]",001101_023
motorbike,0.3515826165676117,"[632, 297, 48, 85]",001101_023
motorbike,0.5938370823860168,"[630, 292, 46, 103]",001101_024
person,0.3032088279724121,"[633, 274, 37, 51]",001101_024
motorbike,0.5280298590660095,"[626, 319, 51, 99]",001101_025
motorbike,0.4742944836616516,"[629, 319, 53, 106]",001101_026
motorbike,0.5740185379981995,"[643, 319, 50, 106]",001101_027
motorbike,0.883413553237915,"[660, 311, 59, 122]",001101_028
motorbike,0.7731153964996338,"[667, 286, 53, 115]",001101_029
person,0.3948498964309692,"[569, 690, 38, 29]",001101_029
person,0.6751753687858582,"[560, 610, 52, 97]",001101_030
motorbike,0.513578474521637,"[671, 276, 47, 93]",001101_030
person,0.4116203188896179,"[680, 241, 39, 54]",001101_030
person,0.6312718987464905,"[850, 300, 57, 89]",001101_031
person,0.5447404384613037,"[683, 197, 41, 48]",001101_031
person,0.5047545433044434,"[541, 524, 54, 104]",001101_031
motorbike,0.2644686102867126,"[672, 216, 52, 103]",001101_031
person,0.6209193468093872,"[676, 165, 39, 52]",001101_032
person,0.466652899980545,"[516, 436, 56, 84]",001101_032
motorbike,0.372317761182785,"[670, 199, 47, 92]",001101_032
person,0.66767418384552,"[492, 328, 52, 88]",001101_033
person,0.5497908592224121,"[654, 116, 47, 48]",001101_033
motorbike,0.5515499711036682,"[636, 88, 49, 104]",001101_034
person,0.4594310522079468,"[462, 226, 55, 89]",001101_034
person,0.5303852558135986,"[440, 128, 51, 85]",001101_035
motorbike,0.493013858795166,"[630, 90, 48, 103]",001101_035
person,0.3771457374095917,"[638, 73, 44, 46]",001101_035
motorbike,0.7834269404411316,"[631, 63, 48, 103]",001101_036
person,0.6615171432495117,"[429, 66, 37, 46]",001101_036
motorbike,0.8699868321418762,"[625, 42, 44, 104]",001101_037
motorbike,0.5360772013664246,"[413, 7, 55, 74]",001101_037
