label,confidence,box,id
person,0.4952144920825958,"[534, 1, 91, 99]",000
person,0.3425689339637756,"[608, 584, 92, 84]",000
person,0.2899349927902221,"[488, -1, 64, 28]",000
person,0.2474585920572281,"[563, 759, 35, 46]",000
person,0.2265018671751022,"[387, 779, 74, 75]",000
person,0.2001139521598816,"[493, 702, 66, 73]",000
person,0.2567100822925567,"[593, 72, 65, 77]",026
car,0.9984843730926514,"[712, 327, 273, 296]",150
person,0.5044558048248291,"[1017, 237, 78, 99]",150
person,0.224371001124382,"[784, 233, 44, 51]",180
motorbike,0.7633957266807556,"[100, 382, 232, 179]",193
car,0.991702675819397,"[596, 56, 228, 157]",194
car,0.9623738527297974,"[667, 227, 230, 146]",194
person,0.5675452947616577,"[100, 190, 42, 58]",194
person,0.5184612274169922,"[631, 1, 37, 47]",194
car,0.4140594899654388,"[806, 478, 146, 240]",194
bicycle,0.3993605375289917,"[495, 581, 64, 86]",194
motorbike,0.3860207200050354,"[29, 197, 85, 71]",194
motorbike,0.2326216250658035,"[671, 0, 83, 11]",194
car,0.216310054063797,"[731, 775, 212, 77]",194
bicycle,0.3957137763500213,"[1014, 174, 208, 163]",235
motorbike,0.2183874547481537,"[296, 451, 606, 407]",235
person,0.6873217821121216,"[783, 464, 46, 96]",283
person,0.4111948907375335,"[488, 115, 78, 88]",283
car,0.9971190690994264,"[143, 543, 526, 310]",290
person,0.5331391096115112,"[986, 216, 69, 78]",290
motorbike,0.4239111840724945,"[581, 184, 144, 158]",290
person,0.3639962077140808,"[957, 168, 77, 109]",290
person,0.5136482119560242,"[989, 519, 85, 80]",378
person,0.2892269790172577,"[1035, 564, 73, 57]",378
person,0.7341120839118958,"[536, 462, 63, 86]",431
truck,0.4628507792949676,"[16, -4, 388, 290]",431
bicycle,0.2433971911668777,"[215, 418, 148, 157]",431
