label,confidence,box,id
person,0.9928693175315856,"[1061, 240, 132, 337]",130
person,0.5106894373893738,"[869, 751, 117, 97]",130
person,0.324541300535202,"[0, 578, 75, 134]",130
person,0.7471143007278442,"[585, 219, 77, 135]",273
person,0.4220487177371979,"[682, 85, 83, 150]",273
person,0.2258793115615844,"[904, 2, 144, 99]",273
bicycle,0.9492166638374328,"[638, 700, 416, 151]",324
person,0.746626615524292,"[847, 69, 362, 272]",324
person,0.6245400309562683,"[525, 443, 328, 171]",425
person,0.5454531311988831,"[858, 0, 223, 205]",425
person,0.2218227833509445,"[623, -1, 159, 275]",425
person,0.4218753278255462,"[436, 681, 82, 121]",491
person,0.2817406356334686,"[495, 697, 69, 104]",491
person,0.4921973347663879,"[648, 612, 51, 92]",580
