label,confidence,box,id
person,0.7676708698272705,"[675, 266, 72, 107]",040001_001
person,0.6750178337097168,"[673, 268, 71, 104]",040001_002
person,0.6570685505867004,"[676, 140, 87, 168]",040001_003
person,0.6279494166374207,"[674, 3, 92, 184]",040001_004
person,0.3829734623432159,"[712, 2, 96, 155]",040001_006
motorbike,0.437259703874588,"[932, 445, 164, 160]",040001_007
person,0.4318111836910248,"[766, 70, 80, 86]",040001_007
person,0.5866392850875854,"[785, 183, 105, 140]",040001_008
motorbike,0.2111499458551406,"[921, 540, 125, 181]",040001_008
person,0.7792238593101501,"[821, 198, 111, 102]",040001_009
motorbike,0.3643124103546142,"[924, 545, 199, 176]",040001_009
person,0.6759613752365112,"[858, 70, 139, 155]",040001_010
person,0.4686786830425262,"[854, 5, 145, 162]",040001_011
bicycle,0.235355332493782,"[983, 322, 193, 202]",040001_011
person,0.6750764846801758,"[800, -3, 106, 118]",040001_012
bicycle,0.2625951766967773,"[956, 200, 152, 230]",040001_012
person,0.3225523829460144,"[927, 121, 179, 197]",040001_013
person,0.20502270758152,"[767, 0, 85, 145]",040001_013
person,0.5456015467643738,"[723, 35, 92, 174]",040001_014
person,0.4056468904018402,"[871, 74, 150, 233]",040001_014
person,0.6251931190490723,"[680, 102, 88, 164]",040001_015
person,0.6207742094993591,"[624, 94, 81, 182]",040001_018
person,0.3181530237197876,"[533, 256, 91, 78]",040001_018
person,0.2948594987392425,"[1019, 126, 208, 121]",040001_018
person,0.6143497824668884,"[609, 136, 77, 117]",040001_019
person,0.4421292841434479,"[589, 598, 87, 108]",040001_019
person,0.3001857399940491,"[1060, 442, 129, 80]",040001_019
person,0.7307940721511841,"[706, 137, 100, 209]",040001_020
person,0.6039732098579407,"[610, 215, 67, 123]",040001_020
person,0.904451549053192,"[591, 306, 71, 98]",040001_021
person,0.61785489320755,"[709, 296, 93, 165]",040001_021
person,0.8317660689353943,"[584, 277, 73, 89]",040001_022
person,0.4831494390964508,"[730, 357, 59, 84]",040001_022
person,0.6553409695625305,"[584, 112, 75, 165]",040001_023
person,0.7053613662719727,"[600, -1, 68, 177]",040001_024
person,0.5855522155761719,"[595, 21, 79, 154]",040001_025
person,0.2501231133937835,"[623, 370, 83, 108]",040001_025
bicycle,0.2732605338096618,"[575, 490, 97, 170]",040001_026
person,0.7758526802062988,"[634, 268, 77, 98]",040001_027
bicycle,0.5345069169998169,"[523, 543, 102, 174]",040001_027
person,0.8174217343330383,"[638, 385, 70, 77]",040001_028
bicycle,0.2089755833148956,"[487, 603, 86, 114]",040001_028
person,0.8126888871192932,"[653, 376, 84, 101]",040001_031
person,0.5569685101509094,"[671, 232, 67, 134]",040001_032
person,0.3114757537841797,"[452, 276, 85, 183]",040001_032
person,0.5342496037483215,"[673, 175, 76, 116]",040001_033
person,0.2046942263841629,"[462, 170, 93, 206]",040001_033
person,0.3888583183288574,"[696, 200, 77, 82]",040001_034
person,0.5944446325302124,"[727, 242, 88, 123]",040001_035
person,0.2714090943336487,"[475, 198, 113, 183]",040001_035
person,0.734152615070343,"[762, 271, 77, 93]",040001_036
motorbike,0.3997134268283844,"[491, 202, 99, 192]",040001_036
person,0.7820532321929932,"[772, 258, 70, 125]",040001_037
motorbike,0.3752115070819855,"[488, 240, 92, 168]",040001_037
person,0.6929036378860474,"[752, 265, 84, 114]",040001_038
motorbike,0.5744218230247498,"[462, 230, 99, 192]",040001_038
motorbike,0.5580118894577026,"[725, 276, 76, 84]",040001_039
motorbike,0.5199014544487,"[410, 279, 109, 180]",040001_039
person,0.6696425676345825,"[709, 284, 79, 78]",040001_040
motorbike,0.572091281414032,"[386, 293, 115, 168]",040001_040
motorbike,0.7719930410385132,"[375, 300, 116, 180]",040001_041
person,0.6789848208427429,"[686, 279, 62, 118]",040001_041
person,0.3846786320209503,"[985, -3, 74, 66]",040001_041
person,0.9218693971633912,"[696, 253, 96, 116]",040001_042
person,0.8621547222137451,"[1007, 202, 210, 129]",040001_042
person,0.3848918378353119,"[874, 220, 114, 97]",040001_042
person,0.2041040211915969,"[901, 142, 156, 148]",040001_042
motorbike,0.5768758058547974,"[425, 301, 108, 179]",040001_043
person,0.4827872812747955,"[1033, 454, 107, 96]",040001_043
person,0.3538883626461029,"[755, 242, 85, 121]",040001_043
person,0.2909645736217499,"[970, 535, 117, 85]",040001_043
person,0.6514889001846313,"[787, 243, 94, 91]",040001_044
person,0.5598692893981934,"[807, 229, 82, 82]",040001_045
motorbike,0.3974941670894623,"[478, 278, 121, 199]",040001_045
person,0.5820128321647644,"[810, 227, 84, 84]",040001_046
motorbike,0.547520101070404,"[524, 296, 97, 159]",040001_046
person,0.3995355069637298,"[797, 269, 66, 91]",040001_047
person,0.7324408292770386,"[782, 296, 90, 105]",040001_048
bicycle,0.3921813368797302,"[531, 359, 106, 172]",040001_048
person,0.8239941596984863,"[763, 325, 84, 77]",040001_049
bicycle,0.5814807415008545,"[530, 414, 94, 166]",040001_049
person,0.3270852565765381,"[532, 472, 76, 114]",040001_050
person,0.2808087468147278,"[697, 315, 77, 97]",040001_051
bicycle,0.2036660760641098,"[524, 545, 110, 163]",040001_053
person,0.2053338885307312,"[587, 283, 68, 81]",040001_054
motorbike,0.2332275807857513,"[612, 573, 121, 150]",040001_055
person,0.7510524988174438,"[583, 309, 57, 88]",040001_057
person,0.5242445468902588,"[594, 315, 60, 95]",040001_058
person,0.8272489905357361,"[595, 304, 66, 81]",040001_059
person,0.6858676671981812,"[599, 302, 61, 102]",040001_060
person,0.6997036933898926,"[619, 317, 78, 74]",040001_061
person,0.9666882157325744,"[639, 325, 69, 100]",040001_062
person,0.8796562552452087,"[660, 298, 77, 112]",040001_063
person,0.8190386891365051,"[677, 255, 71, 87]",040001_064
person,0.4382954835891723,"[648, 211, 83, 112]",040001_065
motorbike,0.2028093189001083,"[761, -3, 69, 125]",040001_067
person,0.2021145969629287,"[602, 165, 85, 119]",040001_067
person,0.7911427617073059,"[589, 203, 64, 116]",040001_068
person,0.7798073291778564,"[572, 241, 67, 106]",040001_069
person,0.5714483261108398,"[547, 307, 80, 91]",040001_070
bicycle,0.4513065218925476,"[717, 1, 65, 127]",040001_070
person,0.5922799110412598,"[542, 428, 79, 83]",040001_071
